www.rmit.edu.vn,13.225.103.14
13.225.103.104
13.225.103.7
13.225.103.33
2600:9000:219a:0:10:c1be:c380:93a1
2600:9000:219a:3400:10:c1be:c380:93a1
2600:9000:219a:e000:10:c1be:c380:93a1
2600:9000:219a:6000:10:c1be:c380:93a1
2600:9000:219a:9600:10:c1be:c380:93a1
2600:9000:219a:cc00:10:c1be:c380:93a1
2600:9000:219a:a00:10:c1be:c380:93a1
2600:9000:219a:7800:10:c1be:c380:93a1
CNC9HN77D8.rmit.edu.vn,
CNF2HN70NB.rmit.edu.vn,
CNF2HN70PB.rmit.edu.vn,
HAN-RADSPRDAP01.rmit.edu.vn,
HAN-RADSPRDAP02.rmit.edu.vn,
SGS-RADSPRDAP01.rmit.edu.vn,
SIP.rmit.edu.vn,
SgwPrdPrtApp01.rmit.edu.vn,
WCE.rmit.edu.vn,
admgprdap01.rmit.edu.vn,
alumninetwork.rmit.edu.vn,103.253.91.24
apps.rmit.edu.vn,103.253.91.29
appsdr.rmit.edu.vn,210.245.97.72
ave.rmit.edu.vn,
bachdang.rmit.edu.vn,
bis-exam.rmit.edu.vn,
blackboard.rmit.edu.vn,103.253.91.29
careerhub.rmit.edu.vn,
careers.rmit.edu.vn,20.225.187.144
chame.rmit.edu.vn,192.0.78.235
192.0.78.153
clearpass-test.rmit.edu.vn,
commvault.rmit.edu.vn,
crm.rmit.edu.vn,
crmdr.rmit.edu.vn,210.245.97.72
dad-gw-svc1.rmit.edu.vn,
democlass.rmit.edu.vn,103.253.88.35
design.rmit.edu.vn,173.203.204.123
srms.dev.rmit.edu.vn,13.76.185.95
dialin.rmit.edu.vn,
digitalsignage.rmit.edu.vn,
dls.rmit.edu.vn,
dlt.rmit.edu.vn,
drlprdsmtp01.rmit.edu.vn,
election.rmit.edu.vn,
emedia.rmit.edu.vn,103.253.91.29
ems.rmit.edu.vn,
ems-forwarder.rmit.edu.vn,103.253.91.29
emsdr.rmit.edu.vn,210.245.97.72
english.rmit.edu.vn,103.253.88.35
etal.rmit.edu.vn,173.203.204.123
event.rmit.edu.vn,23.236.62.147
www.event.rmit.edu.vn,34.149.87.45
experienceday.rmit.edu.vn,103.253.91.29
findaresearcher.rmit.edu.vn,103.253.91.29
ave-prov-test.gapps.rmit.edu.vn,
ave.prov-test.gapps.rmit.edu.vn,
dialin.prov-test.gapps.rmit.edu.vn,
lyncdiscover.prov-test.gapps.rmit.edu.vn,
meet.prov-test.gapps.rmit.edu.vn,
sip.prov-test.gapps.rmit.edu.vn,
skoonpeap81.prov-test.gapps.rmit.edu.vn,
skoonpeap85.prov-test.gapps.rmit.edu.vn,
skypeexternal81.prov-test.gapps.rmit.edu.vn,
skypeexternal85.prov-test.gapps.rmit.edu.vn,
wce.prov-test.gapps.rmit.edu.vn,
helpdesk.rmit.edu.vn,103.253.91.29
hnaprdclrpspub.rmit.edu.vn,
hnaprdclrpssub.rmit.edu.vn,
hnwprdnps01.rmit.edu.vn,
hress.rmit.edu.vn,103.253.88.47
hressdr.rmit.edu.vn,210.245.97.71
hressstg.rmit.edu.vn,
hrms.rmit.edu.vn,
hrmsdr.rmit.edu.vn,
hrmsstg.rmit.edu.vn,
ielts.rmit.edu.vn,
ilc.rmit.edu.vn,
industryhub.rmit.edu.vn,103.253.91.29
infosession.rmit.edu.vn,34.149.87.45
www.infosession.rmit.edu.vn,34.149.87.45
internships.rmit.edu.vn,
data.internships.rmit.edu.vn,
itop.rmit.edu.vn,
burpsuite.its.rmit.edu.vn,
paloprdfw81.mgmt.its.rmit.edu.vn,
paloprdfw82.mgmt.its.rmit.edu.vn,
paloprdfw83.mgmt.its.rmit.edu.vn,
paloprdfw84.mgmt.its.rmit.edu.vn,
paloprdfw85.mgmt.its.rmit.edu.vn,
paloprdfw86.mgmt.its.rmit.edu.vn,
paloprdfw87.mgmt.its.rmit.edu.vn,
paloprdfw88.mgmt.its.rmit.edu.vn,
